,,µg/L,µg/L,m,,,,
Lake,ID,FPChl-a,Lab Chl.a,Depth,Date,Site,Position,Type
Canandaigua,20190606-CGS1-Surf-WS,1.89,,0.5,06/06/19,CGS1,Surf,WS
Canandaigua,20190606-CGS1-Epi-WS,2.04,,2.0,06/06/19,CGS1,Epi,WS
Canandaigua,20190606-CGS1-Tcline-WS,2.23,,7.0,06/06/19,CGS1,Tcline,WS
Canandaigua,20190606-CGS1-Hypo-WS,0.24,,37.0,06/06/19,CGS1,Hypo,WS
Canandaigua,20190606-CGS1-Bott-WS,0.28,,55.0,06/06/19,CGS1,Bott,WS
Canandaigua,20190606-CGLT(1)-Surf-WS,0.77,0.433,0.5,06/06/19,CGLT(1),Surf,WS
Canandaigua,20190606-CGLT(1)-Epi-WS,1.93,1.12,2.0,06/06/19,CGLT(1),Epi,WS
Canandaigua,20190606-CGLT(1)-Tcline-WS,1.98,0.935,5.0,06/06/19,CGLT(1),Tcline,WS
Canandaigua,20190606-CGLT(1)-Hypo-WS,0.92,0.502,18.0,06/06/19,CGLT(1),Hypo,WS
Canandaigua,20190606-CGLT(1)-Bott-WS,0.16,,26.0,06/06/19,CGLT(1),Bott,WS
Canandaigua,20190606-CGLT(1W)-Surf-WS,0.75,,0.5,06/06/19,CGLT(1W),Surf,WS
Canandaigua,20190606-CGLT(1W)-Epi-WS,1.13,,2.0,06/06/19,CGLT(1W),Epi,WS
Canandaigua,20190606-CGLT(1W)-Tcline-WS,0.61,,5.0,06/06/19,CGLT(1W),Tcline,WS
Canandaigua,20190606-CGLT(1W)-Bott-WS,0.09,,14.0,06/06/19,CGLT(1W),Bott,WS
Canandaigua,20190606-CGLT(1E)-Surf-WS,0.99,,0.5,06/06/19,CGLT(1E),Surf,WS
Canandaigua,20190606-CGLT(1E)-Epi-WS,1.90,,2.0,06/06/19,CGLT(1E),Epi,WS
Canandaigua,20190606-CGLT(1E)-Tcline-WS,2.74,,6.0,06/06/19,CGLT(1E),Tcline,WS
Canandaigua,20190606-CGLT(1E)-Bott-WS,0.16,,16.0,06/06/19,CGLT(1E),Bott,WS
Canandaigua,20190606-CGLT(2)-Surf-WS,1.21,0.465,0.5,06/06/19,CGLT(2),Surf,WS
Canandaigua,20190606-CGLT(2)-Epi-WS,1.58,0.857,2.0,06/06/19,CGLT(2),Epi,WS
Canandaigua,20190606-CGLT(3)-Surf-WS,0.87,0.323,0.5,06/06/19,CGLT(3),Surf,WS
Canandaigua,20190606-CGLT(3)-Epi-WS,1.10,,2.0,06/06/19,CGLT(3),Epi,WS
Canandaigua,20190606-CGLT(4)-Surf-WS,0.78,0.576,0.5,06/06/19,CGLT(4),Surf,WS
Canandaigua,20190606-CGLT(4)-Epi-WS,0.60,,2.0,06/06/19,CGLT(4),Epi,WS
Canandaigua,20190606-CGS1-Epi-EB,0.00,,QC,06/06/19,CGS1,QC,EB
Canandaigua,20190606-CGS1-Epi-QC,1.67,,QC,06/06/19,CGS1,QC,DUP
Canandaigua,20190708-CGS1-Surf-WS,1.65,,0.5,07/08/19,CGS1,Surf,WS
Canandaigua,20190708-CGS1-Epi-WS,1.45,,2.0,07/08/19,CGS1,Epi,WS
Canandaigua,20190708-CGS1-Tcline-WS,1.41,,5.5,07/08/19,CGS1,Tcline,WS
Canandaigua,20190708-CGS1-Hypo-WS,0.10,,35.0,07/08/19,CGS1,Hypo,WS
Canandaigua,20190708-CGS1-Bott-WS,0.02,,56.0,07/08/19,CGS1,Bott,WS
Canandaigua,20190708-CGLT(1)-Surf-WS,1.12,0.97,0.5,07/08/19,CGLT(1),Surf,WS
Canandaigua,20190708-CGLT(1)-Epi-WS,0.66,1.12,2.0,07/08/19,CGLT(1),Epi,WS
Canandaigua,20190708-CGLT(1)-Tcline-WS,1.35,2.39,6.5,07/08/19,CGLT(1),Tcline,WS
Canandaigua,20190708-CGLT(1)-Hypo-WS,1.52,1.06,18.0,07/08/19,CGLT(1),Hypo,WS
Canandaigua,20190708-CGLT(1)-Bott-WS,0.21,,26.5,07/08/19,CGLT(1),Bott,WS
Canandaigua,20190708-CGLT(1W)-Surf-WS,1.40,,0.5,07/08/19,CGLT(1W),Surf,WS
Canandaigua,20190708-CGLT(1W)-Epi-WS,1.60,,2.0,07/08/19,CGLT(1W),Epi,WS
Canandaigua,20190708-CGLT(1W)-Tcline-WS,1.50,,5.5,07/08/19,CGLT(1W),Tcline,WS
Canandaigua,20190708-CGLT(1W)-Bott-WS,0.93,,14.0,07/08/19,CGLT(1W),Bott,WS
Canandaigua,20190708-CGLT(1E)-Surf-WS,0.81,,0.5,07/08/19,CGLT(1E),Surf,WS
Canandaigua,20190708-CGLT(1E)-Epi-WS,0.68,,2.0,07/08/19,CGLT(1E),Epi,WS
Canandaigua,20190708-CGLT(1E)-Tcline-WS,0.98,,4.5,07/08/19,CGLT(1E),Tcline,WS
Canandaigua,20190708-CGLT(1E)-Bott-WS,0.68,,14.0,07/08/19,CGLT(1E),Bott,WS
Canandaigua,20190708-CGLT(2)-Surf-WS,1.15,0.94,0.5,07/08/19,CGLT(2),Surf,WS
Canandaigua,20190708-CGLT(2)-Epi-WS,0.92,1.09,2.0,07/08/19,CGLT(2),Epi,WS
Canandaigua,20190708-CGLT(3)-Surf-WS,0.68,0.538,0.5,07/08/19,CGLT(3),Surf,WS
Canandaigua,20190708-CGLT(3)-Epi-WS,1.12,,2.0,07/08/19,CGLT(3),Epi,WS
Canandaigua,20190708-CGLT(4)-Surf-WS,0.70,0.476,0.5,07/08/19,CGLT(4),Surf,WS
Canandaigua,20190708-CGLT(4)-Epi-WS,1.86,,2.0,07/08/19,CGLT(4),Epi,WS
Canandaigua,20190708-CGLT(1)-Epi-EB,0.00,,QC,07/08/19,CGLT(1),QC,EB
Canandaigua,20190708-CGLT(1)-Epi-QC,1.00,,QC,07/08/19,CGLT(1),QC,DUP
Canandaigua,20190807-CGS1-Surf-WS,3.20,,0.5,08/07/19,CGS1,Surf,WS
Canandaigua,20190807-CGS1-Epi-WS,2.67,,2.0,08/07/19,CGS1,Epi,WS
Canandaigua,20190807-CGS1-Tcline-WS,1.11,,12.5,08/07/19,CGS1,Tcline,WS
Canandaigua,20190807-CGS1-Hypo-WS,0.31,,37.0,08/07/19,CGS1,Hypo,WS
Canandaigua,20190807-CGS1-Bott-WS,0.19,,54.0,08/07/19,CGS1,Bott,WS
Canandaigua,20190807-CGLT(1)-Surf-WS,3.78,2.32,0.5,08/07/19,CGLT(1),Surf,WS
Canandaigua,20190807-CGLT(1)-Epi-WS,3.67,2.94,2.0,08/07/19,CGLT(1),Epi,WS
Canandaigua,20190807-CGLT(1)-Tcline-WS,1.92,1.45,12.0,08/07/19,CGLT(1),Tcline,WS
Canandaigua,20190807-CGLT(1)-Hypo-WS,1.41,1.4,17.5,08/07/19,CGLT(1),Hypo,WS
Canandaigua,20190807-CGLT(1)-Bott-WS,0.26,,25.5,08/07/19,CGLT(1),Bott,WS
Canandaigua,20190807-CGLT(1W)-Surf-WS,3.82,,0.5,08/07/19,CGLT(1W),Surf,WS
Canandaigua,20190807-CGLT(1W)-Epi-WS,3.38,,2.0,08/07/19,CGLT(1W),Epi,WS
Canandaigua,20190807-CGLT(1W)-Tcline-WS,1.85,,11.5,08/07/19,CGLT(1W),Tcline,WS
Canandaigua,20190807-CGLT(1W)-Bott-WS,0.89,,13.0,08/07/19,CGLT(1W),Bott,WS
Canandaigua,20190807-CGLT(1E)-Surf-WS,2.56,,0.5,08/07/19,CGLT(1E),Surf,WS
Canandaigua,20190807-CGLT(1E)-Epi-WS,2.45,,2.0,08/07/19,CGLT(1E),Epi,WS
Canandaigua,20190807-CGLT(1E)-Tcline-WS,1.85,,11.5,08/07/19,CGLT(1E),Tcline,WS
Canandaigua,20190807-CGLT(1E)-Bott-WS,0.00,,16.5,08/07/19,CGLT(1E),Bott,WS
Canandaigua,20190807-CGLT(2)-Surf-WS,2.97,2.6,0.5,08/07/19,CGLT(2),Surf,WS
Canandaigua,20190807-CGLT(2)-Epi-WS,2.85,2.16,2.0,08/07/19,CGLT(2),Epi,WS
Canandaigua,20190807-CGLT(3)-Surf-WS,3.79,2.65,0.5,08/07/19,CGLT(3),Surf,WS
Canandaigua,20190807-CGLT(3)-Epi-WS,3.31,,2.0,08/07/19,CGLT(3),Epi,WS
Canandaigua,20190807-CGLT(4)-Surf-WS,2.83,3.21,0.5,08/07/19,CGLT(4),Surf,WS
Canandaigua,20190807-CGLT(4)-Epi-WS,2.80,,2.0,08/07/19,CGLT(4),Epi,WS
Canandaigua,20190807-CGLT(1)-Hypo-EB,0.00,,QC,08/07/19,CGLT(1),QC,EB
Canandaigua,20190807-CGLT(1)-Hypo-QC,1.14,,QC,08/07/19,CGLT(1),QC,DUP
Canandaigua,20190822-CGS1-Surf-WS,6.56,,0.5,08/22/19,CGS1,Surf,WS
Canandaigua,20190822-CGS1-Epi-WS,6.52,,2.0,08/22/19,CGS1,Epi,WS
Canandaigua,20190822-CGS1-Tcline-WS,2.44,,11.0,08/22/19,CGS1,Tcline,WS
Canandaigua,20190822-CGS1-Hypo-WS,0.55,,38.0,08/22/19,CGS1,Hypo,WS
Canandaigua,20190822-CGS1-Bott-WS,0.30,,57.0,08/22/19,CGS1,Bott,WS
Canandaigua,20190822-CGLT(1)-Surf-WS,10.30,7.96,0.5,08/22/19,CGLT(1),Surf,WS
Canandaigua,20190822-CGLT(1)-Epi-WS,9.80,6.68,2.0,08/22/19,CGLT(1),Epi,WS
Canandaigua,20190822-CGLT(1)-Tcline-WS,2.80,2.14,10.5,08/22/19,CGLT(1),Tcline,WS
Canandaigua,20190822-CGLT(1)-Hypo-WS,0.74,0.732,18.0,08/22/19,CGLT(1),Hypo,WS
Canandaigua,20190822-CGLT(1)-Bott-WS,0.70,,26.0,08/22/19,CGLT(1),Bott,WS
Canandaigua,20190822-CGLT(1W)-Surf-WS,10.03,,0.5,08/22/19,CGLT(1W),Surf,WS
Canandaigua,20190822-CGLT(1W)-Epi-WS,10.60,,2.0,08/22/19,CGLT(1W),Epi,WS
Canandaigua,20190822-CGLT(1W)-Tcline-WS,3.38,,10.5,08/22/19,CGLT(1W),Tcline,WS
Canandaigua,20190822-CGLT(1W)-Bott-WS,1.09,,14.0,08/22/19,CGLT(1W),Bott,WS
Canandaigua,20190822-CGLT(1E)-Surf-WS,11.64,,0.5,08/22/19,CGLT(1E),Surf,WS
Canandaigua,20190822-CGLT(1E)-Epi-WS,10.02,,2.0,08/22/19,CGLT(1E),Epi,WS
Canandaigua,20190822-CGLT(1E)-Tcline-WS,1.83,,10.5,08/22/19,CGLT(1E),Tcline,WS
Canandaigua,20190822-CGLT(1E)-Bott-WS,0.41,,18.0,08/22/19,CGLT(1E),Bott,WS
Canandaigua,20190822-CGLT(2)-Surf-WS,9.86,8.59,0.5,08/22/19,CGLT(2),Surf,WS
Canandaigua,20190822-CGLT(2)-Epi-WS,13.41,7.55,2.0,08/22/19,CGLT(2),Epi,WS
Canandaigua,20190822-CGLT(3)-Surf-WS,8.08,5.9,0.5,08/22/19,CGLT(3),Surf,WS
Canandaigua,20190822-CGLT(3)-Epi-WS,8.32,,2.0,08/22/19,CGLT(3),Epi,WS
Canandaigua,20190822-CGLT(4)-Surf-WS,5.91,4.87,0.5,08/22/19,CGLT(4),Surf,WS
Canandaigua,20190822-CGLT(4)-Epi-WS,6.05,,2.0,08/22/19,CGLT(4),Epi,WS
Canandaigua,20190822-CGLT(1)-Epi-EB,0.00,,QC,08/22/19,CGLT(1),QC,EB
Canandaigua,20190822-CGLT(1)-Epi-QC,8.48,,QC,08/22/19,CGLT(1),QC,DUP
Canandaigua,20190905-CGS1-Surf-WS,3.90,,0.5,09/05/19,CGS1,Surf,WS
Canandaigua,20190905-CGS1-Epi-WS,3.97,,2,09/05/19,CGS1,Epi,WS
Canandaigua,20190905-CGS1-Tcline-WS,3.78,,13.5,09/05/19,CGS1,Tcline,WS
Canandaigua,20190905-CGS1-Hypo-WS,0.29,,38,09/05/19,CGS1,Hypo,WS
Canandaigua,20190905-CGS1-Bott-WS,0.22,,57,09/05/19,CGS1,Bott,WS
Canandaigua,20190905-CGLT(1)-Surf-WS,4.96,3.31,0.5,09/05/19,CGLT(1),Surf,WS
Canandaigua,20190905-CGLT(1)-Epi-WS,4.72,3.76,2,09/05/19,CGLT(1),Epi,WS
Canandaigua,20190905-CGLT(1)-Meta-WS,5.10,,14,09/05/19,CGLT(1),Meta,WS
Canandaigua,20190905-CGLT(1)-Tcline-WS,2.56,2.48,16,09/05/19,CGLT(1),Tcline,WS
Canandaigua,20190905-CGLT(1)-Hypo-WS,2.60,1.95,20,09/05/19,CGLT(1),Hypo,WS
Canandaigua,20190905-CGLT(1)-Bott-WS,0.29,,25,09/05/19,CGLT(1),Bott,WS
Canandaigua,20190905-CGLT(1W)-Surf-WS,5.60,,0.5,09/05/19,CGLT(1W),Surf,WS
Canandaigua,20190905-CGLT(1W)-Epi-WS,5.71,,2,09/05/19,CGLT(1W),Epi,WS
Canandaigua,20190905-CGLT(1W)-Tcline-WS,,,,09/05/19,CGLT(1W),Tcline,WS
Canandaigua,20190905-CGLT(1W)-Bott-WS,3.57,,15,09/05/19,CGLT(1W),Bott,WS
Canandaigua,20190905-CGLT(1E)-Surf-WS,4.67,,0.5,09/05/19,CGLT(1E),Surf,WS
