Lake,Date,Time,Site,Depth_tenth_m,Depth_m,Temp,SpCnd,ChlaRFU,Chla,PCRFU,PC,Turb,DOSat,DOConc,pH
Canandaigua,2/7/2019,11:19:00,CGS1,0,0,1.58625,392.075,0.175,0.2775,0.0425,0.04,0.0855,94.45,13.1975,8.195
Canandaigua,2/7/2019,11:21:00,CGS1,0.1,0,1.418,394.3,0.21,0.4,0.14,0.13,0.118,95.2,13.36,8.16
Canandaigua,2/7/2019,11:21:00,CGS1,1.1,1,1.406,394.6,0.22,0.46,0.17,0.16,0.158,95.3,13.38,8.15
Canandaigua,2/7/2019,11:21:00,CGS1,1.4,1,1.399,394.7,0.21,0.4,0.17,0.16,0.178,95.3,13.38,8.15
Canandaigua,2/7/2019,11:21:00,CGS1,1.6,2,1.387,394.8,0.24,0.54,0.17,0.16,0.158,95.3,13.39,8.14
Canandaigua,2/7/2019,11:21:00,CGS1,2.7,3,1.384,394.9,0.25,0.57,0.18,0.17,0.158,95.3,13.38,8.14
Canandaigua,2/7/2019,11:22:00,CGS1,2.9,3,1.384,395,0.24,0.56,0.2,0.19,0.168,95.2,13.38,8.14
Canandaigua,2/7/2019,11:22:00,CGS1,3.3,3,1.378,395,0.27,0.66,0.22,0.2,0.148,95.2,13.38,8.14
Canandaigua,2/7/2019,11:22:00,CGS1,4.3,4,1.381,395.1,0.27,0.68,0.21,0.2,0.128,95.2,13.37,8.14
Canandaigua,2/7/2019,11:22:00,CGS1,4.6,5,1.387,395.1,0.26,0.63,0.2,0.19,0.118,95.3,13.38,8.14
Canandaigua,2/7/2019,11:22:00,CGS1,5.6,6,1.394,395.2,0.26,0.63,0.18,0.17,0.108,95.2,13.37,8.14
Canandaigua,2/7/2019,11:22:00,CGS1,6.1,6,1.407,395.2,0.23,0.49,0.15,0.14,0.158,95.2,13.37,8.14
Canandaigua,2/7/2019,11:23:00,CGS1,7.2,7,1.425,395.3,0.24,0.55,0.14,0.13,0.128,95.2,13.35,8.14
Canandaigua,2/7/2019,11:23:00,CGS1,7.5,8,1.448,395.2,0.25,0.58,0.17,0.16,0.178,95.2,13.35,8.13
Canandaigua,2/7/2019,11:23:00,CGS1,8.8,9,1.462,395.1,0.26,0.64,0.2,0.19,0.168,95,13.32,8.13
Canandaigua,2/7/2019,11:23:00,CGS1,9,9,1.475,395.1,0.25,0.58,0.2,0.19,0.178,95,13.31,8.13
Canandaigua,2/7/2019,11:23:00,CGS1,9.3,9,1.488,395,0.28,0.69,0.18,0.17,0.188,94.8,13.28,8.13
Canandaigua,2/7/2019,11:23:00,CGS1,10.2,10,1.49975,394.925,0.2675,0.6475,0.2025,0.19,0.158,94.7,13.2675,8.13
Canandaigua,2/7/2019,11:24:00,CGS1,11.1,11,1.503,394.9,0.27,0.67,0.21,0.2,0.158,94.6,13.25,8.13
Canandaigua,2/7/2019,11:24:00,CGS1,11.6,12,1.506,394.9,0.26,0.62,0.21,0.2,0.128,94.6,13.25,8.13
Canandaigua,2/7/2019,11:24:00,CGS1,12.8,13,1.51,394.9,0.25,0.58,0.2,0.19,0.148,94.5,13.23,8.13
Canandaigua,2/7/2019,11:25:00,CGS1,13,13,1.516,394.9,0.26,0.6,0.19,0.18,0.128,94.6,13.24,8.13
Canandaigua,2/7/2019,11:25:00,CGS1,13.3,13,1.519,394.9,0.26,0.63,0.19,0.18,0.138,94.4,13.21,8.13
Canandaigua,2/7/2019,11:25:00,CGS1,14.4,14,1.528,394.9,0.25,0.56,0.2,0.19,0.158,94.4,13.21,8.13
Canandaigua,2/7/2019,11:25:00,CGS1,14.7,15,1.537,395,0.27,0.68,0.19,0.18,0.128,94.2,13.18,8.13
Canandaigua,2/7/2019,11:25:00,CGS1,15,15,1.543,394.9,0.26,0.6,0.18,0.17,0.128,94.4,13.2,8.13
Canandaigua,2/7/2019,11:25:00,CGS1,16.1,16,1.55,395,0.27,0.66,0.18,0.17,0.138,94.2,13.17,8.13
Canandaigua,2/7/2019,11:26:00,CGS1,16.3,16,1.56,395,0.23,0.5,0.18,0.17,0.148,94.1,13.15,8.13
Canandaigua,2/7/2019,11:26:00,CGS1,16.6,17,1.567,395,0.23,0.49,0.19,0.18,0.138,94.1,13.15,8.13
Canandaigua,2/7/2019,11:26:00,CGS1,18,18,1.582,395,0.24,0.54,0.21,0.2,0.128,93.9,13.12,8.13
Canandaigua,2/7/2019,11:26:00,CGS1,19.4,19,1.619,394.9,0.2,0.39,0.19,0.18,0.088,93.8,13.1,8.13
Canandaigua,2/7/2019,11:26:00,CGS1,20.1,20,1.67,394.7,0.21,0.41,0.17,0.16,0.078,93.7,13.06,8.13
Canandaigua,2/7/2019,11:26:00,CGS1,20.3,20,1.709,394.5,0.19,0.34,0.18,0.17,0.068,93.4,13,8.13
Canandaigua,2/7/2019,11:27:00,CGS1,20.4,20,1.727,394.4,0.2,0.37,0.16,0.15,0.068,93.2,12.97,8.13
Canandaigua,2/7/2019,11:27:00,CGS1,20.5,20.5,1.734,394.3,0.195,0.365,0.17,0.16,0.058,93.25,12.975,8.13
Canandaigua,2/7/2019,11:27:00,CGS1,20.6,21,1.738,394.3,0.19,0.35,0.2,0.19,0.088,93.3,12.98,8.13
Canandaigua,2/7/2019,11:27:00,CGS1,21.7,22,1.739,394.3,0.21,0.4,0.18,0.17,0.078,93.1,12.95,8.13
Canandaigua,2/7/2019,11:27:00,CGS1,22.5,22,1.746,394.3,0.2,0.36,0.18,0.17,0.078,93.1,12.95,8.13
Canandaigua,2/7/2019,11:28:00,CGS1,22.8,23,1.76,394.3,0.18,0.28,0.18,0.17,0.078,93,12.93,8.13
Canandaigua,2/7/2019,11:28:00,CGS1,24.4,24,1.771,394.2,0.2,0.38,0.18,0.17,0.088,93,12.92,8.13
Canandaigua,2/7/2019,11:28:00,CGS1,25.6,26,1.782,394.2,0.19,0.32,0.2,0.19,0.048,92.8,12.9,8.13
Canandaigua,2/7/2019,11:28:00,CGS1,26.2,26,1.789,394.2,0.19,0.34,0.19,0.18,0.068,92.9,12.91,8.13
Canandaigua,2/7/2019,11:28:00,CGS1,27.3,27,1.8,394.2,0.18,0.3,0.19,0.18,0.048,93,12.91,8.13
Canandaigua,2/7/2019,11:28:00,CGS1,27.7,28,1.816,394.1,0.18,0.3,0.19,0.18,0.038,92.9,12.89,8.13
Canandaigua,2/7/2019,11:29:00,CGS1,27.9,28,1.828,394.1,0.17,0.26,0.17,0.16,0.018,92.6,12.85,8.12
Canandaigua,2/7/2019,11:29:00,CGS1,29.3,29,1.838,394,0.16,0.22,0.18,0.16,0.004,92.4,12.82,8.12
Canandaigua,2/7/2019,11:29:00,CGS1,29.6,30,1.846,394,0.16,0.22,0.18,0.17,0.028,92.2,12.78,8.12
Canandaigua,2/7/2019,11:29:00,CGS1,29.9,30,1.856,394,0.17,0.26,0.18,0.17,0.018,92,12.75,8.12
Canandaigua,2/7/2019,11:29:00,CGS1,30,30,1.862,393.9,0.17,0.26,0.16,0.15,0.008,91.8,12.73,8.12
Canandaigua,2/7/2019,11:29:00,CGS1,30.2,30,1.863,393.9,0.18,0.29,0.16,0.15,0.048,91.7,12.72,8.12
Canandaigua,2/7/2019,11:30:00,CGS1,30.3,30,1.863,393.9,0.18,0.28,0.18,0.17,0.058,91.7,12.71,8.12
Canandaigua,2/7/2019,11:30:00,CGS1,31.1,31,1.864,393.9,0.18,0.31,0.19,0.18,0.008,91.7,12.71,8.12
Canandaigua,2/7/2019,11:30:00,CGS1,31.9,32,1.87,393.9,0.17,0.26,0.16,0.15,0.038,91.7,12.71,8.12
Canandaigua,2/7/2019,11:30:00,CGS1,33,33,1.886,393.9,0.16,0.22,0.16,0.15,0.038,91.7,12.7,8.12
Canandaigua,2/7/2019,11:30:00,CGS1,33.7,34,1.9,393.9,0.17,0.25,0.16,0.15,0.028,91.6,12.68,8.12
Canandaigua,2/7/2019,11:30:00,CGS1,33.9,34,1.915,393.8,0.17,0.26,0.16,0.15,0.008,91.5,12.67,8.11
Canandaigua,2/7/2019,11:31:00,CGS1,34.1,34,1.925,393.7,0.15,0.16,0.19,0.18,0.004,91.3,12.64,8.11
Canandaigua,2/7/2019,11:31:00,CGS1,35.4,35,1.931,393.8,0.15,0.17,0.17,0.15,0.004,91.3,12.63,8.11
Canandaigua,2/7/2019,11:31:00,CGS1,36.3,36,1.938,393.8,0.14,0.12,0.16,0.15,0.008,91.3,12.63,8.11
Canandaigua,2/7/2019,11:31:00,CGS1,36.7,37,1.951,393.7,0.15,0.18,0.18,0.16,0.004,91.3,12.62,8.11
