Lake,ID,Lab,Depth,Date,Site,Position,Type,Chla,FPChla_eq,FPCyano_eq,FPGreen_eq,FPDiatom_eq,FPCrypto,Microcystin
Canandaigua,20190606-CGS1-Surf-WS,SBU,0.5,6/6/2019,CGS1,Surf,WS,,1.42,0.00,0.80,0.61,0.02,0
Canandaigua,20190606-CGS1-Epi-WS,SBU,2,6/6/2019,CGS1,Epi,WS,,1.52,0.00,0.80,0.72,0.00,0
Canandaigua,20190606-CGS1-Tcline-WS,SBU,7,6/6/2019,CGS1,Tcline,WS,,1.65,0.00,0.64,1.01,0.00,0
Canandaigua,20190606-CGS1-Hypo-WS,SBU,37,6/6/2019,CGS1,Hypo,WS,,0.31,0.00,0.04,0.00,0.27,0
Canandaigua,20190606-CGS1-Bott-WS,SBU,55,6/6/2019,CGS1,Bott,WS,,0.34,0.01,0.02,0.24,0.06,0
Canandaigua,20190606-CGLT(1)-Surf-WS,SBU,0.5,6/6/2019,CGLT(1),Surf,WS,0.43,0.67,0.00,0.24,0.42,0.00,0
Canandaigua,20190606-CGLT(1)-Epi-WS,SBU,2,6/6/2019,CGLT(1),Epi,WS,1.12,1.45,0.00,0.86,0.59,0.00,0
Canandaigua,20190606-CGLT(1)-Tcline-WS,SBU,5,6/6/2019,CGLT(1),Tcline,WS,0.94,1.48,0.00,0.72,0.76,0.00,0
Canandaigua,20190606-CGLT(1)-Hypo-WS,SBU,18,6/6/2019,CGLT(1),Hypo,WS,0.5,0.77,0.00,0.00,0.77,0.00,0
Canandaigua,20190606-CGLT(1)-Bott-WS,SBU,26,6/6/2019,CGLT(1),Bott,WS,,0.25,0.00,0.03,0.02,0.19,0
Canandaigua,20190606-CGLT(1W)-Surf-WS,SBU,0.5,6/6/2019,CGLT(1W),Surf,WS,,0.65,0.00,0.47,0.19,0.00,0
Canandaigua,20190606-CGLT(1W)-Epi-WS,SBU,2,6/6/2019,CGLT(1W),Epi,WS,,0.91,0.01,0.72,0.13,0.06,0
Canandaigua,20190606-CGLT(1W)-Tcline-WS,SBU,5,6/6/2019,CGLT(1W),Tcline,WS,,0.56,0.03,0.40,0.11,0.01,0
Canandaigua,20190606-CGLT(1W)-Bott-WS,SBU,14,6/6/2019,CGLT(1W),Bott,WS,,0.21,0.02,0.09,0.00,0.09,0
Canandaigua,20190606-CGLT(1E)-Surf-WS,SBU,0.5,6/6/2019,CGLT(1E),Surf,WS,,0.81,0.00,0.62,0.16,0.02,0
Canandaigua,20190606-CGLT(1E)-Epi-WS,SBU,2,6/6/2019,CGLT(1E),Epi,WS,,1.43,0.00,0.78,0.65,0.00,0
Canandaigua,20190606-CGLT(1E)-Tcline-WS,SBU,6,6/6/2019,CGLT(1E),Tcline,WS,,2,0.00,0.91,1.09,0.00,0
Canandaigua,20190606-CGLT(1E)-Bott-WS,SBU,16,6/6/2019,CGLT(1E),Bott,WS,,0.25,0.08,0.06,0.02,0.09,0
Canandaigua,20190606-CGLT(2)-Surf-WS,SBU,0.5,6/6/2019,CGLT(2),Surf,WS,0.47,0.96,0.00,0.48,0.48,0.00,0
Canandaigua,20190606-CGLT(2)-Epi-WS,SBU,2,6/6/2019,CGLT(2),Epi,WS,0.86,1.21,0.00,0.59,0.62,0.00,0
Canandaigua,20190606-CGLT(3)-Surf-WS,SBU,0.5,6/6/2019,CGLT(3),Surf,WS,0.32,0.73,0.00,0.50,0.22,0.02,0
Canandaigua,20190606-CGLT(3)-Epi-WS,SBU,2,6/6/2019,CGLT(3),Epi,WS,,0.89,0.00,0.56,0.34,0.00,0
Canandaigua,20190606-CGLT(4)-Surf-WS,SBU,0.5,6/6/2019,CGLT(4),Surf,WS,0.58,0.67,0.00,0.40,0.27,0.00,0
Canandaigua,20190606-CGLT(4)-Epi-WS,SBU,2,6/6/2019,CGLT(4),Epi,WS,,0.55,0.00,0.25,0.30,0.00,0
