Lake,Date,Time,Site,Depth_tenth_m,Depth_m,Temp,SpCnd,ChlaRFU,Chla,PCRFU,PC,Turb,DOSat,DOConc,pH
Skaneateles,10/28/19,8:39:07,SKLT(1),0,0,12.641,284.3,0.2,0.69,0.18,0.19,0,94.3,10.01,7.94
Skaneateles,10/28/19,8:39:17,SKLT(1),0.1,0,12.646,284.3,0.19,0.67,0.21,0.22,0,94.7,10.05,7.94
Skaneateles,10/28/19,8:39:27,SKLT(1),0.2,0,12.645,284.3,0.18,0.6,0.19,0.2,0,95,10.08,7.94
Skaneateles,10/28/19,8:39:37,SKLT(1),0.4,0,12.647,284.3,0.17,0.59,0.2,0.21,0,95.1,10.09,7.94
Skaneateles,10/28/19,8:39:57,SKLT(1),0.5,1,12.652,284.3,0.21,0.72,0.17,0.18,0,95.2,10.1,7.94
Skaneateles,10/28/19,8:40:07,SKLT(1),0.6,1,12.652,284.3,0.2,0.68,0.21,0.21,0,95.2,10.1,7.93
Skaneateles,10/28/19,8:40:17,SKLT(1),1.2,1,12.653,284.3,0.2,0.69,0.2,0.2,0,95.2,10.1,7.93
Skaneateles,10/28/19,8:40:27,SKLT(1),1.4,1,12.653,284.3,0.19,0.67,0.17,0.18,0,95.2,10.1,7.93
Skaneateles,10/28/19,8:40:37,SKLT(1),1.5,2,12.654,284.3,0.16,0.53,0.17,0.18,0,95.2,10.11,7.93
Skaneateles,10/28/19,8:40:47,SKLT(1),2,2,12.652,284.3,0.19,0.64,0.18,0.19,0,95.2,10.1,7.93
Skaneateles,10/28/19,8:40:57,SKLT(1),2.5,2,12.652,284.3,0.2,0.68,0.22,0.23,0,95.2,10.1,7.92
Skaneateles,10/28/19,8:41:07,SKLT(1),2.7,3,12.653,284.3,0.18,0.6,0.17,0.18,0,95.2,10.1,7.92
Skaneateles,10/28/19,8:41:17,SKLT(1),3,3,12.651,284.3,0.19,0.67,0.2,0.21,0,95.2,10.1,7.92
Skaneateles,10/28/19,8:41:27,SKLT(1),3.4,3,12.65,284.3,0.17,0.59,0.18,0.18,0,95.2,10.1,7.92
Skaneateles,10/28/19,8:41:37,SKLT(1),3.7,4,12.65,284.3,0.18,0.6,0.17,0.18,0,95.2,10.1,7.92
Skaneateles,10/28/19,8:41:47,SKLT(1),3.9,4,12.65,284.3,0.18,0.63,0.25,0.26,0,95.2,10.1,7.92
Skaneateles,10/28/19,8:41:57,SKLT(1),4,4,12.651,284.3,0.185,0.63,0.175,0.18,0,95.1,10.09,7.92
Skaneateles,10/28/19,8:42:17,SKLT(1),4.3,4,12.651,284.3,0.18,0.61,0.18,0.19,0,95.1,10.09,7.91
Skaneateles,10/28/19,8:42:27,SKLT(1),4.6,5,12.651,284.3,0.17,0.56,0.18,0.19,0,95,10.08,7.91
Skaneateles,10/28/19,8:42:37,SKLT(1),4.8,5,12.652,284.3,0.23,0.8,0.19,0.2,0,95.1,10.09,7.91
Skaneateles,10/28/19,8:42:47,SKLT(1),5,5,12.652,284.3,0.18,0.59,0.18,0.18,0,95.1,10.09,7.91
Skaneateles,10/28/19,8:42:57,SKLT(1),5.1,5,12.6545,284.3,0.185,0.63,0.16,0.165,0,95,10.08,7.91
Skaneateles,10/28/19,8:43:17,SKLT(1),5.3,5,12.653,284.3,0.2,0.68,0.19,0.19,0,95,10.08,7.91
Skaneateles,10/28/19,8:43:27,SKLT(1),5.5,5,12.65,284.3,0.18,0.61,0.2,0.21,0,95,10.09,7.91
Skaneateles,10/28/19,8:43:37,SKLT(1),5.6,6,12.651,284.3,0.15,0.48,0.19,0.19,0,95,10.08,7.91
Skaneateles,10/28/19,8:43:47,SKLT(1),5.7,6,12.644,284.3,0.17,0.59,0.17,0.18,0,95,10.08,7.91
Skaneateles,10/28/19,8:43:57,SKLT(1),5.8,6,12.639,284.3,0.16,0.54,0.16,0.16,0,94.9,10.08,7.91
Skaneateles,10/28/19,8:44:07,SKLT(1),6,6,12.638,284.3,0.18,0.62,0.21,0.22,0,94.9,10.07,7.91
Skaneateles,10/28/19,8:44:17,SKLT(1),6.1,6,12.627,284.2,0.18,0.63,0.17,0.18,0,94.8,10.07,7.91
Skaneateles,10/28/19,8:44:27,SKLT(1),6.3,6,12.609,284.3,0.16,0.54,0.2,0.21,0,94.8,10.07,7.9
Skaneateles,10/28/19,8:44:37,SKLT(1),6.4,6,12.588,284.3,0.18,0.6,0.17,0.18,0,94.7,10.07,7.9
Skaneateles,10/28/19,8:44:47,SKLT(1),6.6,7,12.549,284.3,0.17,0.56,0.19,0.2,0,94.6,10.06,7.89
Skaneateles,10/28/19,8:44:57,SKLT(1),6.8,7,12.511,284.1,0.18,0.61,0.19,0.2,0,94.3,10.04,7.88
Skaneateles,10/28/19,8:45:07,SKLT(1),6.9,7,12.422,284.2,0.15,0.5,0.18,0.18,0,94.1,10.04,7.88
Skaneateles,10/28/19,8:45:17,SKLT(1),7.1,7,12.3375,284.5,0.165,0.535,0.18,0.18,0,94.1,10.05,7.87
Skaneateles,10/28/19,8:45:37,SKLT(1),7.3,7,12.253,284.2,0.16,0.52,0.19,0.19,0,93.8,10.04,7.86
Skaneateles,10/28/19,8:45:47,SKLT(1),7.4,7,12.171,284.5,0.16,0.54,0.19,0.19,0,93.9,10.07,7.85
Skaneateles,10/28/19,8:45:57,SKLT(1),7.7,8,12.104,284.4,0.19,0.65,0.24,0.25,0,93.7,10.07,7.84
Skaneateles,10/28/19,8:46:07,SKLT(1),7.9,8,12.051,284.6,0.15,0.48,0.23,0.23,0,93.7,10.08,7.83
Skaneateles,10/28/19,8:46:17,SKLT(1),8,8,12.029,284.8,0.17,0.575,0.2,0.2,0,93.8,10.095,7.825
Skaneateles,10/28/19,8:46:37,SKLT(1),8.3,8,12.016,284.8,0.17,0.57,0.19,0.2,0,93.7,10.09,7.82
Skaneateles,10/28/19,8:46:47,SKLT(1),8.5,8,12.01,284.8,0.17,0.57,0.22,0.23,0,93.7,10.09,7.81
Skaneateles,10/28/19,8:46:57,SKLT(1),8.7,9,12.002,284.8,0.17,0.56,0.16,0.16,0,93.7,10.09,7.81
Skaneateles,10/28/19,8:47:07,SKLT(1),8.9,9,11.995,284.9,0.16,0.52,0.19,0.2,0,93.7,10.09,7.8
Skaneateles,10/28/19,8:47:17,SKLT(1),9.1,9,11.984,284.8,0.17,0.56,0.17,0.17,0,93.6,10.09,7.79
Skaneateles,10/28/19,8:47:27,SKLT(1),9.3,9,11.975,284.8,0.18,0.6,0.19,0.2,0,93.6,10.09,7.79
Skaneateles,10/28/19,8:47:37,SKLT(1),9.6,10,11.955,284.8,0.16,0.53,0.2,0.21,0,93.6,10.08,7.79
Skaneateles,10/28/19,8:47:47,SKLT(1),9.8,10,11.934,284.8,0.14,0.46,0.19,0.2,0,93.5,10.09,7.78
Skaneateles,10/28/19,8:47:57,SKLT(1),9.9,10,11.919,284.8,0.17,0.56,0.21,0.22,0,93.5,10.09,7.78
Skaneateles,10/28/19,8:48:07,SKLT(1),10,10,11.905,284.8,0.14,0.46,0.22,0.23,0,93.5,10.09,7.77
Skaneateles,10/28/19,8:48:17,SKLT(1),10.1,10,11.895,284.9,0.17,0.57,0.16,0.17,0,93.5,10.1,7.77
Skaneateles,10/28/19,8:48:27,SKLT(1),10.3,10,11.886,284.8,0.18,0.62,0.23,0.24,0,93.4,10.08,7.76
Skaneateles,10/28/19,8:48:37,SKLT(1),10.4,10,11.874,284.9,0.17,0.57,0.19,0.2,0,93.4,10.08,7.76
Skaneateles,10/28/19,8:48:47,SKLT(1),10.7,11,11.867,284.9,0.18,0.61,0.17,0.17,0,93.4,10.09,7.76
Skaneateles,10/28/19,8:48:57,SKLT(1),11,11,11.863,285,0.17,0.58,0.18,0.19,0.219,93.4,10.09,7.75
