Lake,Date,Date/Time,Site,Depth_tenth_m,PC,Chla
Skaneateles,2/6/2019,2/6/2019 10:03,SKS1,0.2,0.1,0.2
Skaneateles,2/6/2019,2/6/2019 10:04,SKS1,0.3,0,0
Skaneateles,2/6/2019,2/6/2019 10:04,SKS1,0.3,0,0
Skaneateles,2/6/2019,2/6/2019 10:04,SKS1,0.4,0,0
Skaneateles,2/6/2019,2/6/2019 10:04,SKS1,0.5,0,0
Skaneateles,2/6/2019,2/6/2019 10:05,SKS1,0.7,0,0
Skaneateles,2/6/2019,2/6/2019 10:05,SKS1,0.6,0,0
Skaneateles,2/6/2019,2/6/2019 10:05,SKS1,0.7,0,0
Skaneateles,2/6/2019,2/6/2019 10:06,SKS1,1.5,0,0
Skaneateles,2/6/2019,2/6/2019 10:06,SKS1,2.4,0,0
Skaneateles,2/6/2019,2/6/2019 10:06,SKS1,3.2,0,0
Skaneateles,2/6/2019,2/6/2019 10:06,SKS1,4.3,0,0
Skaneateles,2/6/2019,2/6/2019 10:07,SKS1,5.4,0.1,0.1
Skaneateles,2/6/2019,2/6/2019 10:07,SKS1,5.5,0,0
Skaneateles,2/6/2019,2/6/2019 10:07,SKS1,5.6,0,0
Skaneateles,2/6/2019,2/6/2019 10:07,SKS1,5.7,0,0
Skaneateles,2/6/2019,2/6/2019 10:08,SKS1,6,0,0
Skaneateles,2/6/2019,2/6/2019 10:08,SKS1,6.9,0.1,0.1
Skaneateles,2/6/2019,2/6/2019 10:08,SKS1,7.3,0,0
Skaneateles,2/6/2019,2/6/2019 10:09,SKS1,8.6,0.1,0.1
Skaneateles,2/6/2019,2/6/2019 10:09,SKS1,10.4,0.1,0.2
Skaneateles,2/6/2019,2/6/2019 10:09,SKS1,11.1,0.2,0.2
Skaneateles,2/6/2019,2/6/2019 10:09,SKS1,11.1,0,0
Skaneateles,2/6/2019,2/6/2019 10:10,SKS1,11.2,0,0
Skaneateles,2/6/2019,2/6/2019 10:10,SKS1,12.4,0,0
Skaneateles,2/6/2019,2/6/2019 10:10,SKS1,14.5,0,0
Skaneateles,2/6/2019,2/6/2019 10:11,SKS1,15.8,0,0
Skaneateles,2/6/2019,2/6/2019 10:11,SKS1,17.7,0,0
Skaneateles,2/6/2019,2/6/2019 10:11,SKS1,19.2,0,0
Skaneateles,2/6/2019,2/6/2019 10:11,SKS1,19.4,0,0
Skaneateles,2/6/2019,2/6/2019 10:12,SKS1,19.4,0,0
Skaneateles,2/6/2019,2/6/2019 10:12,SKS1,21.8,0,0
Skaneateles,2/6/2019,2/6/2019 10:12,SKS1,23.6,0,0
