Lake,ID,Lab,Depth,Date,Site,Position,Type,Chla,FPChla_eq,FPCyano_eq,FPGreen_eq,FPDiatom_eq,FPCrypto,Microcystin
Skaneateles,20190612-SKLT(1)-Surf-WS,SBU,0.5,6/12/2019,SKLT(1),Surf,WS,0.4,0.46,0.01,0.23,0.19,0.04,0
Skaneateles,20190612-SKLT(1)-Epi-WS,SBU,2,6/12/2019,SKLT(1),Epi,WS,0.53,0.43,0,0.14,0.29,0,0
Skaneateles,20190612-SKLT(1)-Hypo-WS,SBU,37,6/12/2019,SKLT(1),Hypo,WS,0.51,0.57,0,0.23,0.32,0.01,0
Skaneateles,20190612-SKLT(1)-Bott-WS,SBU,56,6/12/2019,SKLT(1),Bott,WS,NA,0.36,0,0.13,0.24,0,0
Skaneateles,20190612-SKS1-Surf-WS,SBU,0.5,6/12/2019,SKS1,Surf,WS,NA,0.49,0,0.23,0.26,0,0
Skaneateles,20190612-SKS1-Epi-WS,SBU,2,6/12/2019,SKS1,Epi,WS,NA,0.55,0,0.32,0.21,0.02,0
Skaneateles,20190612-SKS1-Hypo-WS,SBU,22,6/12/2019,SKS1,Hypo,WS,NA,0.53,0,0.3,0.23,0.01,0
Skaneateles,20190612-SKS1-Bott-WS,SBU,32,6/12/2019,SKS1,Bott,WS,NA,0.35,0,0.23,0.05,0.06,0
Skaneateles,20190612-SKLT(2)-Surf-WS,SBU,0.5,6/12/2019,SKLT(2),Surf,WS,0.35,0.42,0,0.22,0.2,0,0
Skaneateles,20190612-SKLT(2)-Epi-WS,SBU,2,6/12/2019,SKLT(2),Epi,WS,0.43,0.54,0,0.15,0.39,0,0
Skaneateles,20190612-SKLT(2)-Hypo-WS,SBU,13,6/12/2019,SKLT(2),Hypo,WS,NA,0.41,0,0.12,0.29,0,0
Skaneateles,20190612-SKLT(2)-Bott-WS,SBU,18,6/12/2019,SKLT(2),Bott,WS,NA,0.33,0,0.2,0.11,0.02,0
Skaneateles,20190612-SKLT(3)-Surf-WS,SBU,0.5,6/12/2019,SKLT(3),Surf,WS,0.28,0.35,0,0.06,0.28,0,0
Skaneateles,20190612-SKLT(3)-Epi-WS,SBU,2,6/12/2019,SKLT(3),Epi,WS,NA,0.4,0,0.1,0.3,0,0
Skaneateles,20190612-SKLT(3)-Bott-WS,SBU,6,6/12/2019,SKLT(3),Bott,WS,NA,0.29,0,0.23,0.03,0.04,0
Skaneateles,20190612-SKLT(3W)-Surf-WS,SBU,0.5,6/12/2019,SKLT(3W),Surf,WS,NA,0.35,0,0.21,0.13,0.01,0
Skaneateles,20190612-SKLT(3W)-Epi-WS,SBU,2,6/12/2019,SKLT(3W),Epi,WS,NA,0.3,0,0.04,0.26,0,0
Skaneateles,20190612-SKLT(3E)-Surf-WS,SBU,0.5,6/12/2019,SKLT(3E),Surf,WS,NA,0.43,0,0.24,0.18,0,0
Skaneateles,20190612-SKLT(3E)-Epi-WS,SBU,2,6/12/2019,SKLT(3E),Epi,WS,NA,0.45,0,0.25,0.17,0.03,0
Skaneateles,20190612-SKLT(4)-Surf-WS,SBU,0.5,6/12/2019,SKLT(4),Surf,WS,0.2,0.34,0,0.13,0.22,0,0
Skaneateles,20190612-SKLT(4)-Epi-WS,SBU,2,6/12/2019,SKLT(4),Epi,WS,NA,0.4,0.03,0.22,0.05,0.09,0
Skaneateles,20190710-SKLT(1)-Surf-WS,SBU,0.5,7/10/2019,SKLT(1),Surf,WS,0.53,0.61,0,0.25,0.36,0,0
Skaneateles,20190710-SKLT(1)-Epi-WS,SBU,2,7/10/2019,SKLT(1),Epi,WS,0.49,0.6,0,0.25,0.35,0,0
